"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english"
"Eurasian Collared-Dove","EUCD","urban_suburban",NA,NA,FALSE,TRUE,TRUE,"Eurasian Collared-Dove"
"Eurasian Tree Sparrow","ETSP","urban_suburban",6883,"Eurasian Tree Sparrow",TRUE,TRUE,TRUE,"Eurasian Tree Sparrow"
"Eurasian Wigeon","EUWI","marshlands",1360,"Eurasian Wigeon",TRUE,TRUE,TRUE,"Eurasian Wigeon"
"European Starling","EUST","generalists",4930,"European Starling",TRUE,TRUE,TRUE,"European Starling"
"Evening Grosbeak","EVGR","boreal_forests",5140,"Evening Grosbeak",TRUE,TRUE,TRUE,"Evening Grosbeak"
"Ferruginous Hawk","FEHA","grasslands",3480,"Ferruginous Hawk",TRUE,TRUE,TRUE,"Ferruginous Hawk"
"Ferruginous Pygmy-Owl","FEPO","aridlands",3800,"Ferruginous Pygmy-Owl",TRUE,TRUE,TRUE,"Ferruginous Pygmy-Owl"
"Field Sparrow","FISP","eastern_forests",5630,"Field Sparrow",TRUE,TRUE,TRUE,"Field Sparrow"
"Fish Crow","FICR","generalists",4900,"Fish Crow",TRUE,TRUE,TRUE,"Fish Crow"
"Florida Scrub-Jay","FLSJ","subtropical_forests",4790,"Florida Scrub-Jay",TRUE,TRUE,TRUE,"Florida Scrub-Jay"
"Forster's Tern","FOTE","marshlands",690,"Forster's Tern",TRUE,TRUE,TRUE,"Forster's Tern"
"Fox Sparrow","FOSP","boreal_forests",5850,"Fox Sparrow",TRUE,TRUE,TRUE,"Fox Sparrow"
"Franklin's Gull","FRGU","marshlands",590,"Franklin's Gull",TRUE,TRUE,TRUE,"Franklin's Gull"
"Fulvous Whistling-Duck","FUWD","marshlands",1780,"Fulvous Whistling-Duck",TRUE,TRUE,TRUE,"Fulvous Whistling-Duck"
"Gadwall","GADW","marshlands",1350,"Gadwall",TRUE,TRUE,TRUE,"Gadwall"
"Gambel's Quail","GAQU","aridlands",NA,NA,FALSE,TRUE,TRUE,"Gambel's Quail"
"Gila Woodpecker","GIWO","aridlands",4110,"Gila Woodpecker",TRUE,TRUE,TRUE,"Gila Woodpecker"
"Gilded Flicker","GIFL","aridlands",4140,"Gilded Flicker",TRUE,TRUE,TRUE,"Gilded Flicker"
"Glaucous Gull","GLGU","waterbirds",420,"Glaucous Gull",TRUE,TRUE,TRUE,"Glaucous Gull"
"Glaucous-winged Gull","GWGU","coastal",440,"Glaucous-winged Gull",TRUE,TRUE,TRUE,"Glaucous-winged Gull"
"Glossy Ibis","GLIB","marshlands",1860,"Glossy Ibis",TRUE,TRUE,TRUE,"Glossy Ibis"
"Golden Eagle","GOEA","generalists",3490,"Golden Eagle",TRUE,TRUE,TRUE,"Golden Eagle"
