Common.Name,Code,Group
Pygmy Nuthatch,PYNU,western_forests
Pyrrhuloxia,PYRR,aridlands
Razorbill,RAZO,coastal
Red Crossbill,RECR,boreal_forests
Red Knot,REKN,waterbirds
Red Phalarope,REPH,waterbirds
Red-bellied Woodpecker,RBWO,eastern_forests
Red-breasted Merganser,RBME,waterbirds
Red-breasted Nuthatch,RBNU,boreal_forests
Red-breasted Sapsucker,RBSA,western_forests
Red-cockaded Woodpecker,RCWO,eastern_forests
Red-crowned Parrot,RCPA,subtropical_forests
Reddish Egret,REEG,coastal
Red-eyed Vireo,REVI,eastern_forests
Red-faced Cormorant,RFCO,coastal
Red-faced Warbler,RFWA,subtropical_forests
Redhead,REDH,marshlands
Red-headed Woodpecker,RHWO,eastern_forests
Red-naped Sapsucker,RNSA,western_forests
Red-necked Grebe,RNGR,marshlands
Red-necked Phalarope,RNPH,waterbirds
Red-shouldered Hawk,RSHA,eastern_forests
Red-tailed Hawk,RTHA,generalists
Red-throated Loon,RTLO,waterbirds
Red-winged Blackbird,RWBL,generalists
Rhinoceros Auklet,RHAU,coastal
Ridgway's Rail,RIRA,marshlands
Ring-billed Gull,RBGU,waterbirds
Ringed Kingfisher,RIKI,waterbirds
Ring-necked Duck,RNDU,waterbirds
Ring-necked Pheasant,RNEP,grasslands
Rock Pigeon,ROPI,urban_suburban
Rock Ptarmigan,ROPT,arctic
Rock Sandpiper,ROSA,coastal
Rock Sandpiper,ROSA,waterbirds
Rock Wren,ROWR,aridlands
Roseate Spoonbill,ROSP,coastal
Rose-breasted Grosbeak,RBGR,eastern_forests
Ross's Goose,ROGO,waterbirds
Rough-legged Hawk,RLHA,arctic
Royal Tern,ROYT,coastal
Ruby-crowned Kinglet,RCKI,western_forests
Ruby-throated Hummingbird,RTHU,eastern_forests
Ruddy Duck,RUDU,marshlands
Ruddy Turnstone,RUTU,waterbirds
Ruffed Grouse,RUGR,boreal_forests
Rufous Hummingbird,RUHU,western_forests
Rufous-crowned Sparrow,RCSP,aridlands
Rufous-winged Sparrow,RWSP,aridlands
Rusty Blackbird,RUBL,boreal_forests
Sabine's Gull,SAGU,coastal
Sage Thrasher,SATH,aridlands
Sagebrush Sparrow,SABS,aridlands
Saltmarsh Sparrow,SALS,marshlands
Sanderling,SAND,waterbirds
Sandhill Crane,SACR,marshlands
Sandwich Tern,SATE,coastal
Savannah Sparrow,SAVS,grasslands
Say's Phoebe,SAPH,generalists
Scaled Quail,SCQU,aridlands
Scarlet Tanager,SCTA,eastern_forests
Scissor-tailed Flycatcher,STFL,grasslands
Scott's Oriole,SCOR,aridlands
Seaside Sparrow,SESP,coastal
Sedge Wren,SEWR,grasslands
Semipalmated Plover,SEPL,coastal
Semipalmated Plover,SEPL,waterbirds
